radio,mcc,lon,lat,range,averageSignal,radius
GSM,216,19.0871,47.5227,2495,0,1000.0
GSM,216,19.0921,47.5213,835,0,835.0
GSM,216,18.9166,47.4439,2095,0,1000.0
GSM,216,18.9011,47.44,1998,0,1000.0
GSM,216,18.9224,47.5581,1272,0,1000.0
GSM,216,19.0868,47.605,2026,0,1000.0
GSM,216,19.0544,47.5941,999,0,999.0
GSM,216,19.0935,47.4494,1521,0,1000.0
GSM,216,18.8768,47.4136,9101,0,1000.0
GSM,216,19.0778,47.4648,1285,0,1000.0
GSM,216,19.0629,47.4729,4021,0,1000.0
GSM,216,19.0587,47.4685,959,0,959.0
GSM,216,19.0247,47.5523,816,0,816.0
GSM,216,19.0012,47.5788,3595,0,1000.0
GSM,216,19.0207,47.5593,1528,0,1000.0
GSM,216,19.0453,47.5489,2293,0,1000.0
GSM,216,19.0457,47.5413,1136,0,1000.0
GSM,216,18.9256,47.452,1109,0,1000.0
GSM,216,19.0485,47.538,900,0,900.0
GSM,216,19.043,47.5471,1137,0,1000.0
GSM,216,19.0418,47.4973,1334,0,1000.0
GSM,216,19.0443,47.499,1951,0,1000.0
GSM,216,19.0407,47.5225,1178,0,1000.0
GSM,216,19.0385,47.5301,837,0,837.0
GSM,216,19.0425,47.522,1781,0,1000.0
GSM,216,19.0704,47.6177,1825,0,1000.0
GSM,216,19.048,47.5644,1379,0,1000.0
GSM,216,19.0435,47.5251,871,0,871.0
GSM,216,19.042,47.5148,1000,0,1000.0
GSM,216,19.098,47.4438,814,0,814.0
GSM,216,18.9881,47.524,1001,0,1000.0
GSM,216,18.9577,47.5617,2745,0,1000.0
GSM,216,18.9648,47.5353,1466,0,1000.0
GSM,216,18.9665,47.5359,794,0,794.0
GSM,216,18.9662,47.5364,649,0,649.0
GSM,216,18.9673,47.5373,1472,0,1000.0
GSM,216,19.0249,47.4896,587,0,587.0
GSM,216,19.0079,47.5114,1109,0,1000.0
GSM,216,18.9947,47.5187,706,0,706.0
GSM,216,19.022,47.5071,691,0,691.0
